cbsd_id,secondary_user_type,target_band,location,data_type,start_time,duration
1333,emergency,n5,"37.227279,-80.421665",emergency,338,6
1334,government,n5,"37.227279,-80.421665",voice,336,9
1335,scientific,n2,"37.231585,-80.416258",emergency,336,5
1336,scientific,n1,"37.211525,-80.445081",video,341,7
1337,scientific,n3,"37.231585,-80.416258",data,341,5
1338,ordinary,n2,"37.211525,-80.445081",voice,341,6
1339,emergency,n2,"37.231585,-80.416258",video,339,5
1340,ordinary,n3,"37.211525,-80.445081",video,343,10
1341,educational,n5,"37.231585,-80.416258",emergency,341,5
1342,educational,n3,"37.227279,-80.421665",data,350,9
1343,ordinary,n5,"37.231585,-80.416258",data,348,6
1344,emergency,n3,"37.227279,-80.421665",voice,350,10
1345,scientific,n3,"37.231585,-80.416258",data,347,5
1346,emergency,n1,"37.231585,-80.416258",data,353,10
1347,government,n2,"37.227279,-80.421665",emergency,348,5
1348,government,n1,"37.227279,-80.421665",data,352,8
1349,government,n3,"37.211525,-80.445081",data,355,8
1350,emergency,n2,"37.231585,-80.416258",emergency,354,6
1351,scientific,n1,"37.211525,-80.445081",video,359,9
1352,emergency,n5,"37.227279,-80.421665",data,353,6
1353,government,n4,"37.211525,-80.445081",voice,357,9
1354,emergency,n3,"37.227279,-80.421665",voice,355,6
1355,scientific,n5,"37.231585,-80.416258",voice,355,7
1356,scientific,n1,"37.231585,-80.416258",video,356,7
1357,government,n1,"37.231585,-80.416258",emergency,364,8
1358,government,n3,"37.211525,-80.445081",voice,362,5
1359,government,n3,"37.211525,-80.445081",video,361,8
1360,educational,n5,"37.227279,-80.421665",data,363,5
1361,government,n2,"37.227279,-80.421665",emergency,362,9
1362,emergency,n4,"37.211525,-80.445081",video,364,8
1363,ordinary,n4,"37.211525,-80.445081",emergency,365,7
1364,emergency,n1,"37.211525,-80.445081",data,369,6
1365,educational,n4,"37.231585,-80.416258",video,372,8
1366,educational,n5,"37.231585,-80.416258",data,372,8
1367,educational,n1,"37.227279,-80.421665",emergency,370,5
1368,scientific,n5,"37.231585,-80.416258",video,370,7
1369,scientific,n1,"37.211525,-80.445081",voice,369,7
1370,ordinary,n1,"37.231585,-80.416258",video,371,5
1371,ordinary,n3,"37.227279,-80.421665",voice,376,6
1372,ordinary,n4,"37.231585,-80.416258",voice,374,5
1373,emergency,n4,"37.231585,-80.416258",data,378,8
1374,emergency,n1,"37.211525,-80.445081",emergency,380,7
1375,government,n3,"37.231585,-80.416258",emergency,379,5
1376,scientific,n1,"37.231585,-80.416258",emergency,378,5
1377,educational,n1,"37.227279,-80.421665",video,381,9
1378,scientific,n5,"37.211525,-80.445081",data,384,8
1379,educational,n3,"37.211525,-80.445081",voice,385,8
1380,government,n2,"37.211525,-80.445081",emergency,380,10
1381,ordinary,n3,"37.211525,-80.445081",video,387,10
1382,government,n3,"37.227279,-80.421665",data,388,9
1383,ordinary,n3,"37.231585,-80.416258",emergency,383,10
1384,ordinary,n4,"37.227279,-80.421665",emergency,385,5
1385,ordinary,n5,"37.231585,-80.416258",voice,388,8
1386,scientific,n5,"37.211525,-80.445081",emergency,392,7
1387,emergency,n1,"37.211525,-80.445081",voice,392,6
1388,scientific,n1,"37.231585,-80.416258",voice,395,9
1389,emergency,n3,"37.231585,-80.416258",voice,391,7
1390,scientific,n4,"37.211525,-80.445081",data,394,10
1391,educational,n4,"37.227279,-80.421665",video,396,6
1392,educational,n5,"37.211525,-80.445081",data,400,9
1393,ordinary,n4,"37.211525,-80.445081",emergency,401,10
1394,scientific,n1,"37.211525,-80.445081",data,397,10
1395,emergency,n1,"37.227279,-80.421665",data,395,5
1396,ordinary,n5,"37.211525,-80.445081",video,398,5
1397,scientific,n2,"37.211525,-80.445081",emergency,399,5
1398,emergency,n3,"37.231585,-80.416258",video,401,7
1399,scientific,n1,"37.231585,-80.416258",emergency,404,8
1400,scientific,n2,"37.231585,-80.416258",data,400,5
1401,government,n1,"37.211525,-80.445081",data,401,8
1402,scientific,n3,"37.231585,-80.416258",data,403,10
1403,educational,n5,"37.231585,-80.416258",data,404,9
1404,government,n5,"37.231585,-80.416258",voice,407,8
1405,ordinary,n2,"37.211525,-80.445081",emergency,405,5
1406,emergency,n1,"37.211525,-80.445081",data,412,9
1407,scientific,n4,"37.211525,-80.445081",data,412,7
1408,emergency,n2,"37.227279,-80.421665",data,413,7
1409,scientific,n1,"37.227279,-80.421665",video,413,5
1410,educational,n3,"37.231585,-80.416258",data,415,8
1411,scientific,n2,"37.211525,-80.445081",emergency,415,6
1412,educational,n2,"37.227279,-80.421665",data,421,10
1413,ordinary,n5,"37.227279,-80.421665",voice,413,9
1414,government,n4,"37.231585,-80.416258",emergency,416,8
1415,government,n5,"37.227279,-80.421665",emergency,416,9
1416,emergency,n2,"37.211525,-80.445081",emergency,420,6
1417,educational,n2,"37.211525,-80.445081",data,418,10
1418,scientific,n1,"37.211525,-80.445081",voice,425,8
1419,government,n4,"37.211525,-80.445081",video,422,6
1420,government,n3,"37.231585,-80.416258",data,421,10
1421,ordinary,n4,"37.227279,-80.421665",voice,426,8
1422,educational,n5,"37.211525,-80.445081",video,426,6
1423,scientific,n3,"37.211525,-80.445081",voice,424,7
1424,government,n4,"37.231585,-80.416258",video,425,9
1425,scientific,n5,"37.211525,-80.445081",video,432,10
1426,emergency,n4,"37.211525,-80.445081",video,426,7
1427,educational,n4,"37.227279,-80.421665",voice,431,5
1428,emergency,n4,"37.211525,-80.445081",data,434,10
1429,ordinary,n5,"37.231585,-80.416258",emergency,429,8
1430,educational,n4,"37.211525,-80.445081",emergency,432,6
1431,scientific,n2,"37.231585,-80.416258",voice,437,10
1432,government,n5,"37.211525,-80.445081",video,436,8
1433,scientific,n1,"37.227279,-80.421665",data,437,5
1434,government,n3,"37.231585,-80.416258",voice,434,9
1435,scientific,n3,"37.231585,-80.416258",video,440,6
1436,educational,n1,"37.227279,-80.421665",video,440,10
1437,government,n1,"37.227279,-80.421665",data,445,10
1438,scientific,n1,"37.211525,-80.445081",emergency,446,9
1439,ordinary,n2,"37.211525,-80.445081",data,439,5
1440,emergency,n4,"37.231585,-80.416258",voice,445,10
1441,emergency,n3,"37.227279,-80.421665",emergency,442,6
1442,government,n5,"37.227279,-80.421665",data,449,9
1443,government,n4,"37.211525,-80.445081",data,447,7
1444,emergency,n5,"37.227279,-80.421665",video,449,6
1445,emergency,n1,"37.227279,-80.421665",data,446,8
1446,educational,n4,"37.227279,-80.421665",emergency,449,9
1447,ordinary,n4,"37.211525,-80.445081",voice,454,9
1448,ordinary,n2,"37.227279,-80.421665",voice,451,9
1449,ordinary,n5,"37.227279,-80.421665",data,449,8
1450,ordinary,n5,"37.211525,-80.445081",emergency,458,9
1451,scientific,n1,"37.231585,-80.416258",video,459,9
1452,government,n3,"37.231585,-80.416258",data,456,7
1453,ordinary,n1,"37.227279,-80.421665",video,456,6
1454,scientific,n2,"37.227279,-80.421665",voice,460,9
1455,scientific,n4,"37.231585,-80.416258",voice,458,7
1456,emergency,n1,"37.231585,-80.416258",voice,461,6
1457,government,n4,"37.231585,-80.416258",video,461,8
1458,scientific,n2,"37.211525,-80.445081",data,459,9
1459,scientific,n1,"37.211525,-80.445081",video,466,8
1460,emergency,n5,"37.231585,-80.416258",voice,461,7
1461,educational,n3,"37.227279,-80.421665",data,466,9
1462,educational,n4,"37.211525,-80.445081",data,462,8
1463,government,n3,"37.211525,-80.445081",video,467,5
1464,scientific,n2,"37.211525,-80.445081",video,466,8
1465,government,n5,"37.231585,-80.416258",emergency,465,8
1466,government,n1,"37.211525,-80.445081",video,466,9
1467,educational,n4,"37.231585,-80.416258",data,473,8
1468,scientific,n1,"37.227279,-80.421665",voice,469,6
1469,emergency,n4,"37.211525,-80.445081",voice,472,6
1470,educational,n1,"37.227279,-80.421665",emergency,471,6
1471,educational,n5,"37.211525,-80.445081",video,471,7
1472,ordinary,n4,"37.211525,-80.445081",voice,475,5
1473,scientific,n1,"37.227279,-80.421665",voice,482,10
1474,ordinary,n4,"37.231585,-80.416258",video,482,9
1475,scientific,n1,"37.227279,-80.421665",voice,479,7
1476,scientific,n5,"37.227279,-80.421665",data,482,9
1477,government,n5,"37.231585,-80.416258",emergency,485,10
1478,scientific,n4,"37.227279,-80.421665",emergency,479,6
1479,scientific,n2,"37.211525,-80.445081",voice,480,8
1480,scientific,n2,"37.211525,-80.445081",video,488,9
1481,ordinary,n1,"37.227279,-80.421665",video,482,5
1482,ordinary,n5,"37.231585,-80.416258",emergency,484,6
1483,government,n1,"37.227279,-80.421665",emergency,485,8
1484,scientific,n4,"37.211525,-80.445081",video,491,9
1485,government,n1,"37.211525,-80.445081",data,487,10
1486,emergency,n1,"37.231585,-80.416258",data,490,5
1487,emergency,n5,"37.211525,-80.445081",emergency,492,6
1488,emergency,n4,"37.227279,-80.421665",video,492,6
1489,ordinary,n1,"37.231585,-80.416258",data,491,8
1490,emergency,n5,"37.211525,-80.445081",voice,495,10
1491,educational,n2,"37.227279,-80.421665",video,492,7
