cbsd_id,secondary_user_type,target_band,location,data_type,start_time,duration,min_freq,max_freq,score
8419,educational,n1,"37.211525,-80.445081",video,7424,7,2300.0,2400.0,10.0
6075,government,n1,"37.227279,-80.421665",emergency,5083,9,2300.0,2400.0,14.0
10306,educational,n1,"37.231585,-80.416258",data,9309,5,2300.0,2400.0,11.0
8418,ordinary,n1,"37.227279,-80.421665",video,7425,8,2300.0,2400.0,8.0
6077,educational,n1,"37.211525,-80.445081",voice,5081,5,2300.0,2400.0,12.0
9686,scientific,n1,"37.211525,-80.445081",voice,8690,10,2300.0,2400.0,11.0
3592,emergency,n1,"37.227279,-80.421665",video,2592,6,2300.0,2400.0,12.0
10310,government,n1,"37.227279,-80.421665",emergency,9315,8,2300.0,2400.0,14.0
10311,emergency,n1,"37.231585,-80.416258",data,9318,8,2300.0,2400.0,13.0
10314,ordinary,n1,"37.211525,-80.445081",voice,9314,5,2300.0,2400.0,10.0
3594,scientific,n1,"37.231585,-80.416258",emergency,2597,5,2300.0,2400.0,12.0
2387,emergency,n1,"37.211525,-80.445081",emergency,1395,10,2300.0,2400.0,15.0
6084,scientific,n1,"37.211525,-80.445081",voice,5088,5,2300.0,2400.0,11.0
4652,government,n1,"37.211525,-80.445081",video,3657,6,2300.0,2400.0,11.0
3599,educational,n1,"37.211525,-80.445081",emergency,2601,5,2300.0,2400.0,13.0
6091,government,n1,"37.231585,-80.416258",video,5094,6,2300.0,2400.0,11.0
2380,government,n1,"37.231585,-80.416258",voice,1383,6,2300.0,2400.0,13.0
4646,educational,n1,"37.211525,-80.445081",voice,3646,6,2300.0,2400.0,12.0
3602,educational,n1,"37.231585,-80.416258",video,2607,7,2300.0,2400.0,10.0
6097,scientific,n1,"37.231585,-80.416258",emergency,5098,5,2300.0,2400.0,12.0
2375,emergency,n1,"37.231585,-80.416258",emergency,1380,6,2300.0,2400.0,15.0
6098,ordinary,n1,"37.227279,-80.421665",data,5098,9,2300.0,2400.0,9.0
6099,scientific,n1,"37.231585,-80.416258",voice,5105,8,2300.0,2400.0,11.0
10322,ordinary,n1,"37.227279,-80.421665",video,9326,8,2300.0,2400.0,8.0
3603,scientific,n1,"37.227279,-80.421665",emergency,2604,6,2300.0,2400.0,12.0
8404,ordinary,n1,"37.231585,-80.416258",voice,7404,9,2300.0,2400.0,10.0
6105,ordinary,n1,"37.231585,-80.416258",emergency,5108,9,2300.0,2400.0,11.0
6107,educational,n1,"37.211525,-80.445081",emergency,5110,9,2300.0,2400.0,13.0
9139,ordinary,n1,"37.227279,-80.421665",data,8139,5,2300.0,2400.0,9.0
3590,educational,n1,"37.227279,-80.421665",video,2594,6,2300.0,2400.0,10.0
8444,government,n1,"37.231585,-80.416258",emergency,7447,10,2300.0,2400.0,14.0
9687,emergency,n1,"37.231585,-80.416258",voice,8692,7,2300.0,2400.0,14.0
2407,educational,n1,"37.211525,-80.445081",voice,1411,5,2300.0,2400.0,12.0
2440,government,n1,"37.211525,-80.445081",voice,1443,5,2300.0,2400.0,13.0
3575,government,n1,"37.227279,-80.421665",emergency,2580,9,2300.0,2400.0,14.0
2438,emergency,n1,"37.227279,-80.421665",voice,1440,6,2300.0,2400.0,14.0
8442,scientific,n1,"37.211525,-80.445081",emergency,7445,6,2300.0,2400.0,12.0
3576,emergency,n1,"37.211525,-80.445081",voice,2582,9,2300.0,2400.0,14.0
4669,government,n1,"37.227279,-80.421665",emergency,3672,7,2300.0,2400.0,14.0
6027,government,n1,"37.211525,-80.445081",voice,5031,8,2300.0,2400.0,13.0
4668,ordinary,n1,"37.211525,-80.445081",video,3674,7,2300.0,2400.0,8.0
2432,emergency,n1,"37.231585,-80.416258",emergency,1436,5,2300.0,2400.0,15.0
6031,government,n1,"37.231585,-80.416258",voice,5039,9,2300.0,2400.0,13.0
6034,educational,n1,"37.231585,-80.416258",voice,5036,8,2300.0,2400.0,12.0
3581,emergency,n1,"37.211525,-80.445081",voice,2584,5,2300.0,2400.0,14.0
8432,educational,n1,"37.231585,-80.416258",video,7436,8,2300.0,2400.0,10.0
2425,emergency,n1,"37.231585,-80.416258",voice,1431,8,2300.0,2400.0,14.0
8430,emergency,n1,"37.231585,-80.416258",data,7432,5,2300.0,2400.0,13.0
10299,scientific,n1,"37.211525,-80.445081",video,9303,9,2300.0,2400.0,9.0
8429,ordinary,n1,"37.211525,-80.445081",video,7434,8,2300.0,2400.0,8.0
4662,ordinary,n1,"37.211525,-80.445081",data,3663,10,2300.0,2400.0,9.0
6047,scientific,n1,"37.211525,-80.445081",emergency,5051,5,2300.0,2400.0,12.0
6050,emergency,n1,"37.227279,-80.421665",video,5055,8,2300.0,2400.0,12.0
2417,ordinary,n1,"37.227279,-80.421665",voice,1417,8,2300.0,2400.0,10.0
2415,government,n1,"37.211525,-80.445081",data,1419,7,2300.0,2400.0,12.0
10302,ordinary,n1,"37.227279,-80.421665",video,9308,8,2300.0,2400.0,8.0
2413,ordinary,n1,"37.211525,-80.445081",data,1418,9,2300.0,2400.0,9.0
6053,educational,n1,"37.211525,-80.445081",video,5056,9,2300.0,2400.0,10.0
6058,emergency,n1,"37.231585,-80.416258",voice,5061,6,2300.0,2400.0,14.0
9689,educational,n1,"37.231585,-80.416258",voice,8696,10,2300.0,2400.0,12.0
6062,government,n1,"37.231585,-80.416258",video,5067,8,2300.0,2400.0,11.0
2408,scientific,n1,"37.227279,-80.421665",voice,1416,10,2300.0,2400.0,11.0
2405,educational,n1,"37.211525,-80.445081",voice,1408,5,2300.0,2400.0,12.0
4701,government,n1,"37.211525,-80.445081",voice,3705,5,2300.0,2400.0,13.0
3546,scientific,n1,"37.231585,-80.416258",video,2551,7,2300.0,2400.0,9.0
9706,scientific,n1,"37.231585,-80.416258",emergency,8709,5,2300.0,2400.0,12.0
2626,government,n1,"37.231585,-80.416258",data,1628,7,2300.0,2400.0,12.0
8527,ordinary,n1,"37.211525,-80.445081",emergency,7527,7,2300.0,2400.0,11.0
2622,scientific,n1,"37.231585,-80.416258",video,1624,7,2300.0,2400.0,9.0
2621,ordinary,n1,"37.231585,-80.416258",emergency,1625,7,2300.0,2400.0,11.0
5816,ordinary,n1,"37.227279,-80.421665",video,4818,9,2300.0,2400.0,8.0
10203,ordinary,n1,"37.227279,-80.421665",video,9204,10,2300.0,2400.0,8.0
9725,ordinary,n1,"37.227279,-80.421665",data,8731,7,2300.0,2400.0,9.0
10205,educational,n1,"37.227279,-80.421665",emergency,9205,9,2300.0,2400.0,13.0
10206,educational,n1,"37.231585,-80.416258",voice,9210,10,2300.0,2400.0,12.0
4740,emergency,n1,"37.227279,-80.421665",data,3742,5,2300.0,2400.0,13.0
2613,emergency,n1,"37.231585,-80.416258",emergency,1619,7,2300.0,2400.0,15.0
5821,scientific,n1,"37.227279,-80.421665",data,4828,9,2300.0,2400.0,10.0
2611,emergency,n1,"37.231585,-80.416258",data,1614,6,2300.0,2400.0,13.0
10207,ordinary,n1,"37.227279,-80.421665",data,9210,6,2300.0,2400.0,9.0
2609,scientific,n1,"37.231585,-80.416258",data,1610,6,2300.0,2400.0,10.0
8524,emergency,n1,"37.231585,-80.416258",emergency,7531,10,2300.0,2400.0,15.0
9723,educational,n1,"37.211525,-80.445081",data,8729,7,2300.0,2400.0,11.0
9089,scientific,n1,"37.227279,-80.421665",emergency,8091,5,2300.0,2400.0,12.0
3520,ordinary,n1,"37.211525,-80.445081",video,2524,7,2300.0,2400.0,8.0
5826,ordinary,n1,"37.211525,-80.445081",video,4826,5,2300.0,2400.0,8.0
8523,emergency,n1,"37.211525,-80.445081",voice,7528,7,2300.0,2400.0,14.0
5828,government,n1,"37.211525,-80.445081",video,4830,6,2300.0,2400.0,11.0
5830,government,n1,"37.227279,-80.421665",data,4832,8,2300.0,2400.0,12.0
5832,educational,n1,"37.231585,-80.416258",data,4833,7,2300.0,2400.0,11.0
8519,emergency,n1,"37.231585,-80.416258",data,7521,9,2300.0,2400.0,13.0
2598,emergency,n1,"37.211525,-80.445081",data,1601,7,2300.0,2400.0,13.0
5836,ordinary,n1,"37.211525,-80.445081",emergency,4844,10,2300.0,2400.0,11.0
5842,educational,n1,"37.231585,-80.416258",video,4843,5,2300.0,2400.0,10.0
2594,ordinary,n1,"37.211525,-80.445081",video,1598,7,2300.0,2400.0,8.0
9729,scientific,n1,"37.231585,-80.416258",data,8729,5,2300.0,2400.0,10.0
2593,government,n1,"37.227279,-80.421665",data,1597,8,2300.0,2400.0,12.0
3511,scientific,n1,"37.231585,-80.416258",emergency,2513,10,2300.0,2400.0,12.0
2631,government,n1,"37.227279,-80.421665",video,1634,8,2300.0,2400.0,11.0
3502,scientific,n1,"37.227279,-80.421665",voice,2505,5,2300.0,2400.0,11.0
10182,emergency,n1,"37.227279,-80.421665",emergency,9185,10,2300.0,2400.0,15.0
8547,emergency,n1,"37.227279,-80.421665",video,7548,6,2300.0,2400.0,12.0
2659,government,n1,"37.227279,-80.421665",data,1659,5,2300.0,2400.0,12.0
5773,emergency,n1,"37.211525,-80.445081",voice,4780,9,2300.0,2400.0,14.0
10184,scientific,n1,"37.231585,-80.416258",data,9186,8,2300.0,2400.0,10.0
8544,emergency,n1,"37.231585,-80.416258",data,7546,6,2300.0,2400.0,13.0
8543,educational,n1,"37.227279,-80.421665",video,7545,8,2300.0,2400.0,10.0
5780,ordinary,n1,"37.227279,-80.421665",video,4780,5,2300.0,2400.0,8.0
2653,emergency,n1,"37.227279,-80.421665",video,1654,10,2300.0,2400.0,12.0
2652,emergency,n1,"37.211525,-80.445081",voice,1658,7,2300.0,2400.0,14.0
10188,government,n1,"37.211525,-80.445081",voice,9190,10,2300.0,2400.0,13.0
5781,government,n1,"37.231585,-80.416258",emergency,4781,7,2300.0,2400.0,14.0
2649,emergency,n1,"37.211525,-80.445081",video,1656,10,2300.0,2400.0,12.0
5784,ordinary,n1,"37.227279,-80.421665",video,4791,10,2300.0,2400.0,8.0
2646,scientific,n1,"37.227279,-80.421665",voice,1646,7,2300.0,2400.0,11.0
5787,educational,n1,"37.227279,-80.421665",video,4791,9,2300.0,2400.0,10.0
8540,government,n1,"37.211525,-80.445081",data,7540,10,2300.0,2400.0,12.0
8539,educational,n1,"37.231585,-80.416258",voice,7543,9,2300.0,2400.0,12.0
2642,emergency,n1,"37.231585,-80.416258",voice,1644,6,2300.0,2400.0,14.0
2641,government,n1,"37.227279,-80.421665",emergency,1644,5,2300.0,2400.0,14.0
9083,emergency,n1,"37.231585,-80.416258",voice,8085,10,2300.0,2400.0,14.0
5797,emergency,n1,"37.231585,-80.416258",emergency,4797,9,2300.0,2400.0,15.0
9084,emergency,n1,"37.231585,-80.416258",video,8091,10,2300.0,2400.0,12.0
5799,educational,n1,"37.231585,-80.416258",voice,4807,9,2300.0,2400.0,12.0
3506,ordinary,n1,"37.211525,-80.445081",emergency,2508,6,2300.0,2400.0,11.0
4748,educational,n1,"37.227279,-80.421665",data,3748,10,2300.0,2400.0,11.0
2633,government,n1,"37.227279,-80.421665",emergency,1638,6,2300.0,2400.0,14.0
4747,emergency,n1,"37.231585,-80.416258",emergency,3754,10,2300.0,2400.0,15.0
8532,educational,n1,"37.231585,-80.416258",emergency,7533,8,2300.0,2400.0,13.0
10215,emergency,n1,"37.231585,-80.416258",emergency,9217,7,2300.0,2400.0,15.0
9090,government,n1,"37.231585,-80.416258",video,8093,5,2300.0,2400.0,11.0
5844,emergency,n1,"37.211525,-80.445081",video,4849,8,2300.0,2400.0,12.0
10234,scientific,n1,"37.211525,-80.445081",voice,9238,6,2300.0,2400.0,11.0
5872,government,n1,"37.231585,-80.416258",voice,4872,6,2300.0,2400.0,13.0
8497,emergency,n1,"37.231585,-80.416258",emergency,7498,7,2300.0,2400.0,15.0
5875,government,n1,"37.227279,-80.421665",voice,4881,7,2300.0,2400.0,13.0
4723,scientific,n1,"37.231585,-80.416258",voice,3729,9,2300.0,2400.0,11.0
10239,ordinary,n1,"37.211525,-80.445081",emergency,9243,7,2300.0,2400.0,11.0
4090,government,n1,"37.211525,-80.445081",data,3091,9,2300.0,2400.0,12.0
3534,emergency,n1,"37.211525,-80.445081",data,2534,10,2300.0,2400.0,13.0
5884,scientific,n1,"37.227279,-80.421665",emergency,4884,5,2300.0,2400.0,12.0
4716,educational,n1,"37.227279,-80.421665",video,3720,6,2300.0,2400.0,10.0
5886,ordinary,n1,"37.211525,-80.445081",emergency,4889,6,2300.0,2400.0,11.0
2541,scientific,n1,"37.231585,-80.416258",emergency,1545,9,2300.0,2400.0,12.0
4714,emergency,n1,"37.227279,-80.421665",video,3717,10,2300.0,2400.0,12.0
2539,scientific,n1,"37.211525,-80.445081",video,1540,8,2300.0,2400.0,9.0
10245,emergency,n1,"37.211525,-80.445081",voice,9249,8,2300.0,2400.0,14.0
4713,ordinary,n1,"37.231585,-80.416258",data,3716,9,2300.0,2400.0,9.0
2536,government,n1,"37.227279,-80.421665",emergency,1539,9,2300.0,2400.0,14.0
5889,government,n1,"37.227279,-80.421665",video,4890,9,2300.0,2400.0,11.0
5890,government,n1,"37.227279,-80.421665",emergency,4895,7,2300.0,2400.0,14.0
8492,educational,n1,"37.211525,-80.445081",data,7492,8,2300.0,2400.0,11.0
4708,educational,n1,"37.227279,-80.421665",video,3714,7,2300.0,2400.0,10.0
4705,government,n1,"37.227279,-80.421665",emergency,3707,6,2300.0,2400.0,14.0
2528,emergency,n1,"37.227279,-80.421665",video,1531,9,2300.0,2400.0,12.0
4704,scientific,n1,"37.227279,-80.421665",video,3711,8,2300.0,2400.0,9.0
10251,educational,n1,"37.227279,-80.421665",emergency,9258,8,2300.0,2400.0,13.0
5901,educational,n1,"37.231585,-80.416258",emergency,4907,7,2300.0,2400.0,13.0
9106,scientific,n1,"37.231585,-80.416258",voice,8107,10,2300.0,2400.0,11.0
3544,government,n1,"37.227279,-80.421665",data,2552,9,2300.0,2400.0,12.0
5907,ordinary,n1,"37.227279,-80.421665",emergency,4909,6,2300.0,2400.0,11.0
3531,educational,n1,"37.231585,-80.416258",emergency,2531,8,2300.0,2400.0,13.0
5870,scientific,n1,"37.211525,-80.445081",voice,4870,7,2300.0,2400.0,11.0
2556,scientific,n1,"37.231585,-80.416258",video,1556,5,2300.0,2400.0,9.0
2558,educational,n1,"37.211525,-80.445081",data,1562,9,2300.0,2400.0,11.0
5845,scientific,n1,"37.211525,-80.445081",video,4845,5,2300.0,2400.0,9.0
5846,emergency,n1,"37.231585,-80.416258",data,4846,5,2300.0,2400.0,13.0
10218,emergency,n1,"37.211525,-80.445081",data,9222,6,2300.0,2400.0,13.0
2586,ordinary,n1,"37.211525,-80.445081",emergency,1590,8,2300.0,2400.0,11.0
8513,government,n1,"37.231585,-80.416258",emergency,7514,7,2300.0,2400.0,14.0
2584,government,n1,"37.211525,-80.445081",emergency,1588,6,2300.0,2400.0,14.0
5849,scientific,n1,"37.231585,-80.416258",video,4854,6,2300.0,2400.0,9.0
3524,government,n1,"37.227279,-80.421665",video,2528,5,2300.0,2400.0,11.0
5853,scientific,n1,"37.227279,-80.421665",video,4853,9,2300.0,2400.0,9.0
2579,ordinary,n1,"37.211525,-80.445081",emergency,1583,6,2300.0,2400.0,11.0
2578,emergency,n1,"37.231585,-80.416258",voice,1580,10,2300.0,2400.0,14.0
10223,scientific,n1,"37.227279,-80.421665",voice,9224,8,2300.0,2400.0,11.0
3525,emergency,n1,"37.211525,-80.445081",emergency,2527,10,2300.0,2400.0,15.0
8504,government,n1,"37.231585,-80.416258",emergency,7505,5,2300.0,2400.0,14.0
10324,scientific,n1,"37.211525,-80.445081",video,9330,8,2300.0,2400.0,9.0
2574,emergency,n1,"37.231585,-80.416258",data,1578,8,2300.0,2400.0,13.0
10225,ordinary,n1,"37.231585,-80.416258",video,9225,10,2300.0,2400.0,8.0
5859,scientific,n1,"37.211525,-80.445081",voice,4861,8,2300.0,2400.0,11.0
2570,government,n1,"37.211525,-80.445081",voice,1573,9,2300.0,2400.0,13.0
4733,government,n1,"37.211525,-80.445081",emergency,3733,10,2300.0,2400.0,14.0
10226,scientific,n1,"37.227279,-80.421665",emergency,9227,10,2300.0,2400.0,12.0
8502,government,n1,"37.211525,-80.445081",data,7505,10,2300.0,2400.0,12.0
4732,ordinary,n1,"37.227279,-80.421665",voice,3734,10,2300.0,2400.0,10.0
10228,educational,n1,"37.227279,-80.421665",video,9230,6,2300.0,2400.0,10.0
9093,ordinary,n1,"37.231585,-80.416258",voice,8095,8,2300.0,2400.0,10.0
10229,scientific,n1,"37.231585,-80.416258",data,9230,9,2300.0,2400.0,10.0
2562,ordinary,n1,"37.211525,-80.445081",video,1566,10,2300.0,2400.0,8.0
3529,scientific,n1,"37.211525,-80.445081",data,2530,6,2300.0,2400.0,10.0
8499,educational,n1,"37.211525,-80.445081",video,7500,9,2300.0,2400.0,10.0
10232,government,n1,"37.227279,-80.421665",voice,9234,7,2300.0,2400.0,13.0
5858,ordinary,n1,"37.227279,-80.421665",data,4861,8,2300.0,2400.0,9.0
2363,emergency,n1,"37.227279,-80.421665",emergency,1364,5,2300.0,2400.0,15.0
10328,government,n1,"37.211525,-80.445081",data,9337,10,2300.0,2400.0,12.0
10329,ordinary,n1,"37.231585,-80.416258",video,9329,8,2300.0,2400.0,8.0
6327,educational,n1,"37.227279,-80.421665",voice,5330,5,2300.0,2400.0,12.0
10424,government,n1,"37.231585,-80.416258",voice,9425,7,2300.0,2400.0,13.0
2166,educational,n1,"37.227279,-80.421665",data,1171,9,2300.0,2400.0,11.0
2165,educational,n1,"37.231585,-80.416258",emergency,1167,10,2300.0,2400.0,13.0
8304,ordinary,n1,"37.231585,-80.416258",video,7304,5,2300.0,2400.0,8.0
2163,educational,n1,"37.231585,-80.416258",video,1169,10,2300.0,2400.0,10.0
6332,emergency,n1,"37.231585,-80.416258",data,5335,5,2300.0,2400.0,13.0
8298,emergency,n1,"37.231585,-80.416258",video,7299,9,2300.0,2400.0,12.0
8294,ordinary,n1,"37.231585,-80.416258",data,7294,9,2300.0,2400.0,9.0
2159,government,n1,"37.211525,-80.445081",data,1159,6,2300.0,2400.0,12.0
2158,ordinary,n1,"37.227279,-80.421665",voice,1158,6,2300.0,2400.0,10.0
4564,educational,n1,"37.211525,-80.445081",data,3567,9,2300.0,2400.0,11.0
3682,ordinary,n1,"37.211525,-80.445081",data,2685,9,2300.0,2400.0,9.0
4563,ordinary,n1,"37.211525,-80.445081",emergency,3566,8,2300.0,2400.0,11.0
4561,scientific,n1,"37.211525,-80.445081",voice,3568,8,2300.0,2400.0,11.0
4558,government,n1,"37.211525,-80.445081",emergency,3567,10,2300.0,2400.0,14.0
8288,government,n1,"37.231585,-80.416258",video,7290,6,2300.0,2400.0,11.0
8286,ordinary,n1,"37.211525,-80.445081",data,7287,7,2300.0,2400.0,9.0
4557,ordinary,n1,"37.231585,-80.416258",emergency,3562,7,2300.0,2400.0,11.0
4555,scientific,n1,"37.227279,-80.421665",emergency,3557,7,2300.0,2400.0,12.0
3688,emergency,n1,"37.227279,-80.421665",data,2689,9,2300.0,2400.0,13.0
2147,scientific,n1,"37.211525,-80.445081",video,1149,5,2300.0,2400.0,9.0
6359,scientific,n1,"37.231585,-80.416258",data,5364,9,2300.0,2400.0,10.0
6361,educational,n1,"37.211525,-80.445081",video,5367,8,2300.0,2400.0,10.0
3690,ordinary,n1,"37.231585,-80.416258",voice,2694,6,2300.0,2400.0,10.0
6363,ordinary,n1,"37.211525,-80.445081",video,5366,7,2300.0,2400.0,8.0
9624,ordinary,n1,"37.211525,-80.445081",emergency,8625,8,2300.0,2400.0,11.0
2140,educational,n1,"37.211525,-80.445081",voice,1143,8,2300.0,2400.0,12.0
8283,educational,n1,"37.211525,-80.445081",voice,7286,7,2300.0,2400.0,12.0
9171,government,n1,"37.231585,-80.416258",video,8176,8,2300.0,2400.0,11.0
8934,emergency,n1,"37.231585,-80.416258",data,7934,9,2300.0,2400.0,13.0
2170,educational,n1,"37.231585,-80.416258",voice,1173,5,2300.0,2400.0,12.0
4567,educational,n1,"37.231585,-80.416258",video,3572,9,2300.0,2400.0,10.0
8327,educational,n1,"37.211525,-80.445081",voice,7334,8,2300.0,2400.0,12.0
2202,emergency,n1,"37.231585,-80.416258",data,1206,6,2300.0,2400.0,13.0
3669,ordinary,n1,"37.231585,-80.416258",emergency,2678,10,2300.0,2400.0,11.0
10410,educational,n1,"37.231585,-80.416258",data,9418,9,2300.0,2400.0,11.0
6280,ordinary,n1,"37.231585,-80.416258",emergency,5287,9,2300.0,2400.0,11.0
2198,educational,n1,"37.211525,-80.445081",voice,1204,7,2300.0,2400.0,12.0
6281,scientific,n1,"37.231585,-80.416258",data,5281,8,2300.0,2400.0,10.0
3670,scientific,n1,"37.227279,-80.421665",voice,2671,6,2300.0,2400.0,11.0
6284,emergency,n1,"37.227279,-80.421665",video,5286,5,2300.0,2400.0,12.0
2194,ordinary,n1,"37.211525,-80.445081",video,1194,10,2300.0,2400.0,8.0
2193,ordinary,n1,"37.227279,-80.421665",data,1194,7,2300.0,2400.0,9.0
2192,scientific,n1,"37.231585,-80.416258",emergency,1192,6,2300.0,2400.0,12.0
3671,government,n1,"37.211525,-80.445081",voice,2673,6,2300.0,2400.0,13.0
6287,ordinary,n1,"37.211525,-80.445081",data,5289,5,2300.0,2400.0,9.0
6290,government,n1,"37.227279,-80.421665",video,5291,7,2300.0,2400.0,11.0
8323,educational,n1,"37.231585,-80.416258",voice,7327,5,2300.0,2400.0,12.0
9632,ordinary,n1,"37.227279,-80.421665",video,8633,7,2300.0,2400.0,8.0
4571,ordinary,n1,"37.211525,-80.445081",video,3571,9,2300.0,2400.0,8.0
6296,educational,n1,"37.227279,-80.421665",emergency,5298,6,2300.0,2400.0,13.0
6297,government,n1,"37.211525,-80.445081",voice,5300,6,2300.0,2400.0,13.0
8321,government,n1,"37.231585,-80.416258",data,7322,5,2300.0,2400.0,12.0
2181,ordinary,n1,"37.227279,-80.421665",data,1188,8,2300.0,2400.0,9.0
