cbsd_id,secondary_user_type,target_band,location,data_type,start_time,duration,min_freq,max_freq,user_priority,traffic_priority,fading_priority,density_priority,overall_priority
1681,government,n4,"37.211525,-80.445081",data,686,7,2600.0,2700.0,4.0,2.0,1.0,676.0,683.0
2314,government,n3,"37.211525,-80.445081",voice,1317,6,2500.0,2600.0,4.0,3.0,1.0,676.0,684.0
1683,emergency,n3,"37.211525,-80.445081",voice,684,10,2500.0,2600.0,5.0,3.0,1.0,676.0,685.0
1688,scientific,n2,"37.211525,-80.445081",data,694,9,2400.0,2500.0,2.0,2.0,1.0,676.0,681.0
2308,ordinary,n1,"37.211525,-80.445081",voice,1311,6,2300.0,2400.0,1.0,3.0,6.0,676.0,686.0
2307,emergency,n5,"37.211525,-80.445081",voice,1311,5,2700.0,2800.0,5.0,3.0,1.0,676.0,685.0
1695,scientific,n5,"37.211525,-80.445081",video,696,7,2700.0,2800.0,2.0,1.0,1.0,676.0,680.0
2301,educational,n4,"37.211525,-80.445081",voice,1302,6,2600.0,2700.0,3.0,3.0,1.0,676.0,683.0
1658,emergency,n2,"37.211525,-80.445081",data,662,8,2400.0,2500.0,5.0,2.0,1.0,676.0,684.0
1620,emergency,n5,"37.211525,-80.445081",emergency,623,6,2700.0,2800.0,5.0,4.0,1.0,676.0,686.0
1657,scientific,n2,"37.211525,-80.445081",voice,658,5,2400.0,2500.0,2.0,3.0,1.0,676.0,682.0
1655,educational,n3,"37.211525,-80.445081",video,659,10,2500.0,2600.0,3.0,1.0,1.0,676.0,681.0
2375,emergency,n4,"37.211525,-80.445081",video,1381,8,2600.0,2700.0,5.0,1.0,1.0,676.0,683.0
2374,emergency,n1,"37.211525,-80.445081",video,1377,8,2300.0,2400.0,5.0,1.0,6.0,676.0,688.0
2373,scientific,n3,"37.211525,-80.445081",data,1373,7,2500.0,2600.0,2.0,2.0,1.0,676.0,681.0
2367,ordinary,n3,"37.211525,-80.445081",video,1370,6,2500.0,2600.0,1.0,1.0,1.0,676.0,679.0
2366,government,n3,"37.211525,-80.445081",voice,1366,6,2500.0,2600.0,4.0,3.0,1.0,676.0,684.0
2362,scientific,n2,"37.211525,-80.445081",video,1365,5,2400.0,2500.0,2.0,1.0,1.0,676.0,680.0
1632,emergency,n4,"37.211525,-80.445081",emergency,634,8,2600.0,2700.0,5.0,4.0,1.0,676.0,686.0
1633,educational,n2,"37.211525,-80.445081",voice,635,5,2400.0,2500.0,3.0,3.0,1.0,676.0,683.0
2359,government,n2,"37.211525,-80.445081",voice,1362,8,2400.0,2500.0,4.0,3.0,1.0,676.0,684.0
2351,scientific,n3,"37.211525,-80.445081",emergency,1359,10,2500.0,2600.0,2.0,4.0,1.0,676.0,683.0
2350,scientific,n5,"37.211525,-80.445081",emergency,1350,5,2700.0,2800.0,2.0,4.0,1.0,676.0,683.0
1644,government,n2,"37.211525,-80.445081",voice,653,10,2400.0,2500.0,4.0,3.0,1.0,676.0,684.0
2349,government,n3,"37.211525,-80.445081",video,1350,5,2500.0,2600.0,4.0,1.0,1.0,676.0,682.0
2348,emergency,n3,"37.211525,-80.445081",emergency,1351,5,2500.0,2600.0,5.0,4.0,1.0,676.0,686.0
2347,emergency,n2,"37.211525,-80.445081",data,1351,6,2400.0,2500.0,5.0,2.0,1.0,676.0,684.0
2346,government,n1,"37.211525,-80.445081",video,1350,8,2300.0,2400.0,4.0,1.0,6.0,676.0,687.0
1649,scientific,n3,"37.211525,-80.445081",video,651,8,2500.0,2600.0,2.0,1.0,1.0,676.0,680.0
1650,government,n2,"37.211525,-80.445081",emergency,654,7,2400.0,2500.0,4.0,4.0,1.0,676.0,685.0
1652,government,n3,"37.211525,-80.445081",emergency,656,6,2500.0,2600.0,4.0,4.0,1.0,676.0,685.0
1653,emergency,n1,"37.211525,-80.445081",voice,656,8,2300.0,2400.0,5.0,3.0,6.0,676.0,690.0
2344,ordinary,n3,"37.211525,-80.445081",voice,1348,5,2500.0,2600.0,1.0,3.0,1.0,676.0,681.0
2343,ordinary,n1,"37.211525,-80.445081",data,1343,8,2300.0,2400.0,1.0,2.0,6.0,676.0,685.0
1698,educational,n4,"37.211525,-80.445081",video,699,7,2600.0,2700.0,3.0,1.0,1.0,676.0,681.0
2467,ordinary,n3,"37.211525,-80.445081",voice,1472,6,2500.0,2600.0,1.0,3.0,1.0,676.0,681.0
2471,government,n4,"37.211525,-80.445081",data,1475,10,2600.0,2700.0,4.0,2.0,1.0,676.0,683.0
1442,educational,n5,"37.211525,-80.445081",voice,445,5,2700.0,2800.0,3.0,3.0,1.0,676.0,683.0
1443,ordinary,n3,"37.211525,-80.445081",voice,449,8,2500.0,2600.0,1.0,3.0,1.0,676.0,681.0
2563,government,n5,"37.211525,-80.445081",voice,1568,6,2700.0,2800.0,4.0,3.0,1.0,676.0,684.0
1447,educational,n1,"37.211525,-80.445081",voice,447,5,2300.0,2400.0,3.0,3.0,6.0,676.0,688.0
2559,ordinary,n3,"37.211525,-80.445081",video,1566,8,2500.0,2600.0,1.0,1.0,1.0,676.0,679.0
1449,ordinary,n4,"37.211525,-80.445081",emergency,454,6,2600.0,2700.0,1.0,4.0,1.0,676.0,682.0
1450,ordinary,n3,"37.211525,-80.445081",data,451,5,2500.0,2600.0,1.0,2.0,1.0,676.0,680.0
1452,emergency,n5,"37.211525,-80.445081",data,455,6,2700.0,2800.0,5.0,2.0,1.0,676.0,684.0
2555,ordinary,n4,"37.211525,-80.445081",voice,1559,5,2600.0,2700.0,1.0,3.0,1.0,676.0,681.0
1455,government,n1,"37.211525,-80.445081",data,458,7,2300.0,2400.0,4.0,2.0,6.0,676.0,688.0
1456,government,n2,"37.211525,-80.445081",video,463,8,2400.0,2500.0,4.0,1.0,1.0,676.0,682.0
1458,scientific,n2,"37.211525,-80.445081",video,463,7,2400.0,2500.0,2.0,1.0,1.0,676.0,680.0
1459,ordinary,n1,"37.211525,-80.445081",video,461,7,2300.0,2400.0,1.0,1.0,6.0,676.0,684.0
2553,government,n5,"37.211525,-80.445081",video,1556,5,2700.0,2800.0,4.0,1.0,1.0,676.0,682.0
2551,educational,n3,"37.211525,-80.445081",data,1556,7,2500.0,2600.0,3.0,2.0,1.0,676.0,682.0
2549,ordinary,n4,"37.211525,-80.445081",data,1553,5,2600.0,2700.0,1.0,2.0,1.0,676.0,680.0
1464,ordinary,n5,"37.211525,-80.445081",data,464,7,2700.0,2800.0,1.0,2.0,1.0,676.0,680.0
1466,scientific,n2,"37.211525,-80.445081",voice,468,7,2400.0,2500.0,2.0,3.0,1.0,676.0,682.0
1467,ordinary,n1,"37.211525,-80.445081",video,469,10,2300.0,2400.0,1.0,1.0,6.0,676.0,684.0
2546,ordinary,n4,"37.211525,-80.445081",video,1546,7,2600.0,2700.0,1.0,1.0,1.0,676.0,679.0
1469,scientific,n2,"37.211525,-80.445081",voice,473,8,2400.0,2500.0,2.0,3.0,1.0,676.0,682.0
2566,government,n4,"37.211525,-80.445081",video,1570,10,2600.0,2700.0,4.0,1.0,1.0,676.0,682.0
1470,scientific,n1,"37.211525,-80.445081",video,477,8,2300.0,2400.0,2.0,1.0,6.0,676.0,685.0
2567,scientific,n1,"37.211525,-80.445081",data,1570,7,2300.0,2400.0,2.0,2.0,6.0,676.0,686.0
2571,government,n3,"37.211525,-80.445081",video,1577,8,2500.0,2600.0,4.0,1.0,1.0,676.0,682.0
1405,government,n4,"37.211525,-80.445081",voice,408,5,2600.0,2700.0,4.0,3.0,1.0,676.0,684.0
2595,scientific,n1,"37.211525,-80.445081",video,1597,5,2300.0,2400.0,2.0,1.0,6.0,676.0,685.0
2594,emergency,n5,"37.211525,-80.445081",data,1598,6,2700.0,2800.0,5.0,2.0,1.0,676.0,684.0
2593,ordinary,n2,"37.211525,-80.445081",data,1593,10,2400.0,2500.0,1.0,2.0,1.0,676.0,680.0
1410,ordinary,n3,"37.211525,-80.445081",data,412,7,2500.0,2600.0,1.0,2.0,1.0,676.0,680.0
1413,government,n3,"37.211525,-80.445081",data,420,10,2500.0,2600.0,4.0,2.0,1.0,676.0,683.0
1414,emergency,n5,"37.211525,-80.445081",voice,415,8,2700.0,2800.0,5.0,3.0,1.0,676.0,685.0
2585,emergency,n5,"37.211525,-80.445081",data,1589,10,2700.0,2800.0,5.0,2.0,1.0,676.0,684.0
2584,scientific,n4,"37.211525,-80.445081",voice,1587,5,2600.0,2700.0,2.0,3.0,1.0,676.0,682.0
1422,government,n3,"37.211525,-80.445081",voice,426,5,2500.0,2600.0,4.0,3.0,1.0,676.0,684.0
2582,government,n1,"37.211525,-80.445081",video,1588,9,2300.0,2400.0,4.0,1.0,6.0,676.0,687.0
2580,emergency,n1,"37.211525,-80.445081",video,1584,7,2300.0,2400.0,5.0,1.0,6.0,676.0,688.0
2578,educational,n1,"37.211525,-80.445081",voice,1582,5,2300.0,2400.0,3.0,3.0,6.0,676.0,688.0
1426,emergency,n4,"37.211525,-80.445081",emergency,434,10,2600.0,2700.0,5.0,4.0,1.0,676.0,686.0
1427,emergency,n1,"37.211525,-80.445081",data,431,6,2300.0,2400.0,5.0,2.0,6.0,676.0,689.0
2576,government,n5,"37.211525,-80.445081",voice,1582,9,2700.0,2800.0,4.0,3.0,1.0,676.0,684.0
1431,scientific,n1,"37.211525,-80.445081",data,435,5,2300.0,2400.0,2.0,2.0,6.0,676.0,686.0
1432,government,n1,"37.211525,-80.445081",video,438,10,2300.0,2400.0,4.0,1.0,6.0,676.0,687.0
1433,educational,n3,"37.211525,-80.445081",data,437,9,2500.0,2600.0,3.0,2.0,1.0,676.0,682.0
2573,educational,n5,"37.211525,-80.445081",data,1577,5,2700.0,2800.0,3.0,2.0,1.0,676.0,682.0
2572,ordinary,n5,"37.211525,-80.445081",voice,1572,5,2700.0,2800.0,1.0,3.0,1.0,676.0,681.0
2569,scientific,n2,"37.211525,-80.445081",emergency,1576,8,2400.0,2500.0,2.0,4.0,1.0,676.0,683.0
2469,emergency,n4,"37.211525,-80.445081",video,1472,5,2600.0,2700.0,5.0,1.0,1.0,676.0,683.0
2542,emergency,n1,"37.211525,-80.445081",data,1547,7,2300.0,2400.0,5.0,2.0,6.0,676.0,689.0
1475,government,n5,"37.211525,-80.445081",emergency,475,6,2700.0,2800.0,4.0,4.0,1.0,676.0,685.0
1514,educational,n3,"37.211525,-80.445081",data,515,7,2500.0,2600.0,3.0,2.0,1.0,676.0,682.0
2502,emergency,n1,"37.211525,-80.445081",video,1506,9,2300.0,2400.0,5.0,1.0,6.0,676.0,688.0
1518,ordinary,n2,"37.211525,-80.445081",video,521,6,2400.0,2500.0,1.0,1.0,1.0,676.0,679.0
2497,scientific,n1,"37.211525,-80.445081",data,1501,5,2300.0,2400.0,2.0,2.0,6.0,676.0,686.0
1521,emergency,n4,"37.211525,-80.445081",data,521,5,2600.0,2700.0,5.0,2.0,1.0,676.0,684.0
2496,emergency,n3,"37.211525,-80.445081",data,1501,10,2500.0,2600.0,5.0,2.0,1.0,676.0,684.0
1524,government,n5,"37.211525,-80.445081",data,525,7,2700.0,2800.0,4.0,2.0,1.0,676.0,683.0
1525,scientific,n5,"37.211525,-80.445081",data,525,10,2700.0,2800.0,2.0,2.0,1.0,676.0,681.0
2491,scientific,n1,"37.211525,-80.445081",video,1498,9,2300.0,2400.0,2.0,1.0,6.0,676.0,685.0
2488,government,n4,"37.211525,-80.445081",voice,1490,6,2600.0,2700.0,4.0,3.0,1.0,676.0,684.0
1528,emergency,n5,"37.211525,-80.445081",video,533,7,2700.0,2800.0,5.0,1.0,1.0,676.0,683.0
2487,educational,n1,"37.211525,-80.445081",voice,1487,10,2300.0,2400.0,3.0,3.0,6.0,676.0,688.0
2486,educational,n4,"37.211525,-80.445081",voice,1490,9,2600.0,2700.0,3.0,3.0,1.0,676.0,683.0
1531,educational,n5,"37.211525,-80.445081",data,533,7,2700.0,2800.0,3.0,2.0,1.0,676.0,682.0
1532,ordinary,n4,"37.211525,-80.445081",video,538,10,2600.0,2700.0,1.0,1.0,1.0,676.0,679.0
1533,educational,n5,"37.211525,-80.445081",emergency,537,9,2700.0,2800.0,3.0,4.0,1.0,676.0,684.0
2481,government,n3,"37.211525,-80.445081",video,1481,7,2500.0,2600.0,4.0,1.0,1.0,676.0,682.0
1536,educational,n1,"37.211525,-80.445081",voice,541,6,2300.0,2400.0,3.0,3.0,6.0,676.0,688.0
2479,government,n2,"37.211525,-80.445081",voice,1484,9,2400.0,2500.0,4.0,3.0,1.0,676.0,684.0
2475,emergency,n2,"37.211525,-80.445081",emergency,1481,8,2400.0,2500.0,5.0,4.0,1.0,676.0,686.0
2473,emergency,n1,"37.211525,-80.445081",data,1473,6,2300.0,2400.0,5.0,2.0,6.0,676.0,689.0
1513,government,n5,"37.211525,-80.445081",video,518,7,2700.0,2800.0,4.0,1.0,1.0,676.0,682.0
1474,government,n5,"37.211525,-80.445081",data,478,7,2700.0,2800.0,4.0,2.0,1.0,676.0,683.0
2507,government,n1,"37.211525,-80.445081",voice,1512,7,2300.0,2400.0,4.0,3.0,6.0,676.0,689.0
2514,emergency,n4,"37.211525,-80.445081",voice,1518,9,2600.0,2700.0,5.0,3.0,1.0,676.0,685.0
1476,educational,n2,"37.211525,-80.445081",video,484,10,2400.0,2500.0,3.0,1.0,1.0,676.0,681.0
1477,educational,n3,"37.211525,-80.445081",video,482,9,2500.0,2600.0,3.0,1.0,1.0,676.0,681.0
1480,emergency,n1,"37.211525,-80.445081",emergency,485,7,2300.0,2400.0,5.0,4.0,6.0,676.0,691.0
2538,ordinary,n1,"37.211525,-80.445081",data,1539,10,2300.0,2400.0,1.0,2.0,6.0,676.0,685.0
1484,ordinary,n3,"37.211525,-80.445081",emergency,484,7,2500.0,2600.0,1.0,4.0,1.0,676.0,682.0
1485,scientific,n4,"37.211525,-80.445081",emergency,486,9,2600.0,2700.0,2.0,4.0,1.0,676.0,683.0
2532,ordinary,n3,"37.211525,-80.445081",voice,1534,6,2500.0,2600.0,1.0,3.0,1.0,676.0,681.0
1488,emergency,n2,"37.211525,-80.445081",voice,493,7,2400.0,2500.0,5.0,3.0,1.0,676.0,685.0
1489,emergency,n3,"37.211525,-80.445081",voice,494,8,2500.0,2600.0,5.0,3.0,1.0,676.0,685.0
2531,ordinary,n5,"37.211525,-80.445081",emergency,1534,10,2700.0,2800.0,1.0,4.0,1.0,676.0,682.0
1491,emergency,n2,"37.211525,-80.445081",data,492,5,2400.0,2500.0,5.0,2.0,1.0,676.0,684.0
1493,educational,n5,"37.211525,-80.445081",emergency,496,10,2700.0,2800.0,3.0,4.0,1.0,676.0,684.0
1495,scientific,n4,"37.211525,-80.445081",voice,500,9,2600.0,2700.0,2.0,3.0,1.0,676.0,682.0
2001,government,n4,"37.211525,-80.445081",data,1006,7,2600.0,2700.0,4.0,2.0,1.0,676.0,683.0
2522,government,n5,"37.211525,-80.445081",voice,1522,10,2700.0,2800.0,4.0,3.0,1.0,676.0,684.0
2521,educational,n2,"37.211525,-80.445081",voice,1526,7,2400.0,2500.0,3.0,3.0,1.0,676.0,683.0
2517,emergency,n5,"37.211525,-80.445081",voice,1519,6,2700.0,2800.0,5.0,3.0,1.0,676.0,685.0
2515,scientific,n2,"37.211525,-80.445081",emergency,1520,6,2400.0,2500.0,2.0,4.0,1.0,676.0,683.0
1505,emergency,n2,"37.211525,-80.445081",emergency,512,10,2400.0,2500.0,5.0,4.0,1.0,676.0,686.0
1506,government,n1,"37.211525,-80.445081",voice,506,9,2300.0,2400.0,4.0,3.0,6.0,676.0,689.0
1507,ordinary,n3,"37.211525,-80.445081",voice,507,8,2500.0,2600.0,1.0,3.0,1.0,676.0,681.0
2509,scientific,n2,"37.211525,-80.445081",data,1512,8,2400.0,2500.0,2.0,2.0,1.0,676.0,681.0
2300,ordinary,n1,"37.211525,-80.445081",data,1304,9,2300.0,2400.0,1.0,2.0,6.0,676.0,685.0
2299,ordinary,n1,"37.211525,-80.445081",video,1300,8,2300.0,2400.0,1.0,1.0,6.0,676.0,684.0
1702,emergency,n2,"37.211525,-80.445081",data,704,7,2400.0,2500.0,5.0,2.0,1.0,676.0,684.0
2106,ordinary,n3,"37.211525,-80.445081",voice,1107,7,2500.0,2600.0,1.0,3.0,1.0,676.0,681.0
1887,educational,n3,"37.211525,-80.445081",emergency,891,8,2500.0,2600.0,3.0,4.0,1.0,676.0,684.0
1888,ordinary,n2,"37.211525,-80.445081",video,889,6,2400.0,2500.0,1.0,1.0,1.0,676.0,679.0
2105,ordinary,n3,"37.211525,-80.445081",data,1106,8,2500.0,2600.0,1.0,2.0,1.0,676.0,680.0
2103,educational,n5,"37.211525,-80.445081",data,1106,7,2700.0,2800.0,3.0,2.0,1.0,676.0,682.0
1891,scientific,n1,"37.211525,-80.445081",emergency,897,9,2300.0,2400.0,2.0,4.0,6.0,676.0,688.0
1892,educational,n4,"37.211525,-80.445081",data,896,9,2600.0,2700.0,3.0,2.0,1.0,676.0,682.0
2102,emergency,n5,"37.211525,-80.445081",voice,1105,6,2700.0,2800.0,5.0,3.0,1.0,676.0,685.0
2101,scientific,n1,"37.211525,-80.445081",data,1103,6,2300.0,2400.0,2.0,2.0,6.0,676.0,686.0
2098,emergency,n4,"37.211525,-80.445081",video,1098,5,2600.0,2700.0,5.0,1.0,1.0,676.0,683.0
1898,government,n3,"37.211525,-80.445081",emergency,899,7,2500.0,2600.0,4.0,4.0,1.0,676.0,685.0
2092,ordinary,n5,"37.211525,-80.445081",video,1092,8,2700.0,2800.0,1.0,1.0,1.0,676.0,679.0
1906,government,n5,"37.211525,-80.445081",video,906,5,2700.0,2800.0,4.0,1.0,1.0,676.0,682.0
1908,educational,n4,"37.211525,-80.445081",data,911,7,2600.0,2700.0,3.0,2.0,1.0,676.0,682.0
1909,emergency,n1,"37.211525,-80.445081",data,913,8,2300.0,2400.0,5.0,2.0,6.0,676.0,689.0
2087,educational,n4,"37.211525,-80.445081",video,1089,6,2600.0,2700.0,3.0,1.0,1.0,676.0,681.0
1911,ordinary,n5,"37.211525,-80.445081",data,916,9,2700.0,2800.0,1.0,2.0,1.0,676.0,680.0
1912,emergency,n3,"37.211525,-80.445081",voice,912,6,2500.0,2600.0,5.0,3.0,1.0,676.0,685.0
1913,ordinary,n1,"37.211525,-80.445081",data,921,9,2300.0,2400.0,1.0,2.0,6.0,676.0,685.0
2086,emergency,n4,"37.211525,-80.445081",video,1089,6,2600.0,2700.0,5.0,1.0,1.0,676.0,683.0
1915,ordinary,n5,"37.211525,-80.445081",video,917,5,2700.0,2800.0,1.0,1.0,1.0,676.0,679.0
2109,scientific,n4,"37.211525,-80.445081",data,1113,10,2600.0,2700.0,2.0,2.0,1.0,676.0,681.0
1919,educational,n4,"37.211525,-80.445081",video,925,9,2600.0,2700.0,3.0,1.0,1.0,676.0,681.0
2110,emergency,n3,"37.211525,-80.445081",voice,1111,8,2500.0,2600.0,5.0,3.0,1.0,676.0,685.0
1881,scientific,n2,"37.211525,-80.445081",emergency,888,8,2400.0,2500.0,2.0,4.0,1.0,676.0,683.0
1850,scientific,n4,"37.211525,-80.445081",data,853,8,2600.0,2700.0,2.0,2.0,1.0,676.0,681.0
1851,scientific,n4,"37.211525,-80.445081",voice,853,6,2600.0,2700.0,2.0,3.0,1.0,676.0,682.0
2144,scientific,n4,"37.211525,-80.445081",video,1146,7,2600.0,2700.0,2.0,1.0,1.0,676.0,680.0
1855,emergency,n3,"37.211525,-80.445081",video,856,6,2500.0,2600.0,5.0,1.0,1.0,676.0,683.0
2140,government,n2,"37.211525,-80.445081",voice,1143,5,2400.0,2500.0,4.0,3.0,1.0,676.0,684.0
2139,educational,n3,"37.211525,-80.445081",voice,1144,6,2500.0,2600.0,3.0,3.0,1.0,676.0,683.0
2137,emergency,n3,"37.211525,-80.445081",data,1138,8,2500.0,2600.0,5.0,2.0,1.0,676.0,684.0
1863,educational,n1,"37.211525,-80.445081",video,866,6,2300.0,2400.0,3.0,1.0,6.0,676.0,686.0
2134,educational,n2,"37.211525,-80.445081",emergency,1138,5,2400.0,2500.0,3.0,4.0,1.0,676.0,684.0
