cbsd_id,type,band,weather,density,traffic
122,educational,n1,snowy,rural,voice
123,scientific,n1,rainy,semi-urban,emergency
124,ordinary,n2,rainy,rural,voice
125,emergency,n5,emergency,urban,video
126,scientific,n4,sunny,semi-urban,emergency
127,government,n5,emergency,semi-urban,emergency
128,scientific,n5,cloudy,urban,video
129,government,n2,emergency,rural,voice
130,government,n1,snowy,rural,video
131,government,n4,foggy,rural,video
132,government,n5,emergency,urban,voice
133,ordinary,n5,emergency,rural,voice
134,emergency,n3,rainy,rural,emergency
135,scientific,n5,sunny,semi-urban,emergency
136,government,n4,cloudy,urban,data
137,ordinary,n2,emergency,urban,data
138,emergency,n5,foggy,rural,emergency
139,ordinary,n4,emergency,urban,video
140,ordinary,n2,cloudy,urban,emergency
141,scientific,n2,foggy,urban,voice
142,government,n3,snowy,semi-urban,voice
143,ordinary,n3,rainy,semi-urban,video
144,scientific,n1,snowy,rural,voice
145,scientific,n1,emergency,semi-urban,emergency
146,ordinary,n1,foggy,urban,emergency
147,educational,n2,sunny,semi-urban,video
148,scientific,n2,emergency,semi-urban,voice
149,emergency,n3,emergency,urban,voice
150,emergency,n5,sunny,urban,voice
151,educational,n4,sunny,rural,video
152,scientific,n4,rainy,urban,video
153,government,n4,cloudy,semi-urban,emergency
154,emergency,n4,snowy,urban,data
155,educational,n5,foggy,semi-urban,voice
156,government,n1,snowy,semi-urban,emergency
157,scientific,n5,emergency,rural,data
158,government,n2,cloudy,urban,video
159,ordinary,n2,foggy,semi-urban,voice
160,ordinary,n2,cloudy,rural,data
161,ordinary,n2,sunny,semi-urban,emergency
162,government,n4,snowy,rural,video
163,educational,n2,foggy,rural,video
164,scientific,n5,emergency,rural,emergency
165,scientific,n4,foggy,urban,data
166,scientific,n5,cloudy,rural,voice
167,emergency,n5,sunny,semi-urban,data
168,emergency,n3,sunny,semi-urban,data
169,educational,n1,foggy,rural,data
170,government,n3,rainy,semi-urban,data
171,government,n2,emergency,rural,video
172,scientific,n2,cloudy,semi-urban,emergency
173,emergency,n1,emergency,rural,data
174,ordinary,n5,snowy,urban,data
175,ordinary,n1,cloudy,semi-urban,emergency
176,educational,n2,foggy,urban,data
177,scientific,n5,foggy,rural,video
178,emergency,n5,foggy,urban,data
179,ordinary,n5,foggy,urban,data
180,government,n4,emergency,rural,emergency
181,emergency,n3,snowy,urban,emergency
182,ordinary,n1,emergency,urban,video
183,ordinary,n1,sunny,urban,video
184,educational,n1,foggy,semi-urban,voice
185,educational,n5,sunny,urban,data
186,emergency,n1,snowy,rural,data
187,government,n5,foggy,rural,voice
188,emergency,n2,rainy,urban,data
189,ordinary,n1,cloudy,urban,emergency
190,government,n2,snowy,rural,emergency
191,scientific,n3,cloudy,urban,video
192,educational,n5,foggy,rural,data
193,emergency,n4,foggy,rural,video
194,government,n1,rainy,urban,emergency
195,government,n5,emergency,rural,voice
196,government,n3,sunny,semi-urban,data
197,government,n1,emergency,semi-urban,video
198,ordinary,n1,sunny,semi-urban,video
199,ordinary,n3,foggy,semi-urban,data
200,emergency,n1,rainy,rural,voice
201,emergency,n2,cloudy,rural,voice
202,ordinary,n3,snowy,urban,voice
203,ordinary,n5,cloudy,urban,voice
204,ordinary,n5,rainy,urban,emergency
205,educational,n2,rainy,rural,data
206,ordinary,n5,cloudy,urban,video
207,government,n3,sunny,urban,data
208,educational,n4,sunny,urban,emergency
209,scientific,n3,emergency,rural,voice
210,ordinary,n4,cloudy,semi-urban,video
211,government,n5,sunny,semi-urban,emergency
212,ordinary,n1,cloudy,semi-urban,emergency
213,educational,n4,snowy,rural,emergency
214,government,n3,sunny,rural,video
215,ordinary,n1,sunny,urban,video
216,government,n5,cloudy,rural,voice
217,scientific,n1,foggy,semi-urban,data
218,ordinary,n3,snowy,semi-urban,emergency
219,educational,n4,cloudy,rural,emergency
220,ordinary,n5,rainy,rural,data
221,scientific,n1,snowy,urban,emergency
222,government,n2,foggy,semi-urban,data
223,emergency,n1,snowy,rural,voice
224,ordinary,n5,rainy,rural,video
225,government,n3,snowy,urban,voice
226,emergency,n4,foggy,semi-urban,emergency
227,ordinary,n3,foggy,rural,data
228,government,n1,sunny,urban,data
229,government,n3,cloudy,rural,emergency
230,ordinary,n3,rainy,rural,emergency
231,government,n1,cloudy,urban,video
232,scientific,n4,rainy,semi-urban,video
233,ordinary,n4,emergency,urban,data
234,government,n2,emergency,rural,emergency
235,government,n2,rainy,urban,video
236,educational,n4,foggy,semi-urban,video
237,scientific,n4,sunny,rural,emergency
238,ordinary,n1,cloudy,rural,video
239,government,n3,sunny,semi-urban,voice
240,ordinary,n4,emergency,semi-urban,data
241,educational,n5,rainy,semi-urban,voice
242,educational,n3,cloudy,semi-urban,data
243,educational,n2,foggy,rural,voice
244,emergency,n2,snowy,semi-urban,voice
245,emergency,n4,cloudy,urban,data
246,government,n2,cloudy,semi-urban,voice
247,emergency,n1,emergency,semi-urban,data
248,government,n5,snowy,urban,emergency
249,ordinary,n1,foggy,urban,video
250,ordinary,n3,snowy,urban,voice
251,emergency,n3,snowy,urban,emergency
252,ordinary,n1,sunny,urban,voice
253,ordinary,n4,rainy,semi-urban,voice
254,educational,n2,sunny,rural,voice
255,educational,n4,snowy,semi-urban,emergency
256,ordinary,n1,cloudy,semi-urban,voice
257,scientific,n5,rainy,rural,video
258,scientific,n5,foggy,urban,data
259,emergency,n5,emergency,rural,emergency
260,government,n3,cloudy,urban,video
261,government,n2,sunny,rural,video
262,ordinary,n5,emergency,rural,emergency
263,government,n5,rainy,semi-urban,video
264,government,n4,snowy,urban,data
265,government,n1,snowy,semi-urban,voice
266,ordinary,n1,snowy,semi-urban,data
267,scientific,n3,cloudy,urban,voice
268,emergency,n2,snowy,semi-urban,data
269,government,n3,snowy,rural,voice
270,government,n5,rainy,semi-urban,video
271,scientific,n1,rainy,semi-urban,emergency
272,ordinary,n2,snowy,rural,emergency
273,government,n2,snowy,urban,data
274,scientific,n4,snowy,rural,data
275,emergency,n5,sunny,urban,emergency
276,ordinary,n3,foggy,urban,video
277,scientific,n3,foggy,semi-urban,emergency
278,educational,n5,sunny,rural,data
279,educational,n3,rainy,urban,emergency
280,ordinary,n5,cloudy,rural,video
281,scientific,n2,emergency,urban,emergency
282,scientific,n3,emergency,urban,emergency
283,emergency,n1,foggy,rural,emergency
284,ordinary,n3,foggy,urban,data
285,educational,n2,cloudy,rural,video
286,government,n2,foggy,urban,emergency
287,ordinary,n5,rainy,rural,video
288,scientific,n3,snowy,rural,video
289,scientific,n2,cloudy,urban,emergency
290,scientific,n5,foggy,urban,data
291,educational,n5,cloudy,rural,emergency
292,educational,n4,sunny,semi-urban,voice
293,scientific,n2,rainy,semi-urban,voice
294,emergency,n3,snowy,urban,voice
295,ordinary,n3,foggy,rural,emergency
296,emergency,n5,foggy,semi-urban,emergency
297,scientific,n3,rainy,rural,voice
298,educational,n1,cloudy,urban,emergency
299,ordinary,n5,cloudy,semi-urban,voice
300,educational,n5,foggy,rural,voice
301,emergency,n1,emergency,urban,data
302,government,n4,emergency,semi-urban,video
303,ordinary,n5,emergency,rural,video
304,educational,n5,cloudy,rural,video
305,emergency,n4,foggy,urban,voice
306,government,n3,rainy,urban,data
307,scientific,n5,foggy,semi-urban,voice
308,scientific,n1,sunny,semi-urban,video
309,educational,n4,foggy,rural,emergency
310,ordinary,n5,emergency,urban,voice
311,emergency,n2,snowy,rural,emergency
312,ordinary,n4,emergency,semi-urban,data
313,emergency,n5,snowy,semi-urban,data
314,educational,n1,emergency,semi-urban,video
315,scientific,n3,cloudy,semi-urban,data
316,educational,n4,cloudy,urban,voice
317,emergency,n1,foggy,semi-urban,video
318,emergency,n3,snowy,rural,video
319,scientific,n1,emergency,rural,video
320,emergency,n1,cloudy,urban,video
321,government,n1,foggy,semi-urban,data
322,ordinary,n5,sunny,urban,data
323,educational,n1,emergency,semi-urban,voice
324,scientific,n5,sunny,urban,emergency
325,scientific,n4,emergency,semi-urban,voice
326,scientific,n1,snowy,urban,data
327,scientific,n1,snowy,urban,video
328,government,n2,foggy,semi-urban,video
329,emergency,n3,emergency,urban,voice
330,educational,n5,cloudy,semi-urban,data
331,educational,n2,snowy,semi-urban,video
332,emergency,n5,emergency,urban,video
333,government,n4,emergency,semi-urban,emergency
334,emergency,n3,foggy,rural,video
335,educational,n3,snowy,semi-urban,voice
336,emergency,n1,sunny,rural,video
337,emergency,n1,sunny,rural,voice
338,emergency,n1,foggy,urban,data
339,scientific,n2,sunny,urban,emergency
340,ordinary,n2,rainy,rural,voice
341,educational,n2,snowy,urban,data
342,ordinary,n2,snowy,semi-urban,emergency
343,emergency,n4,foggy,rural,video
344,ordinary,n2,cloudy,rural,emergency
345,scientific,n4,sunny,rural,emergency
346,emergency,n3,snowy,semi-urban,video
347,scientific,n1,foggy,rural,voice
348,emergency,n4,sunny,rural,video
349,ordinary,n2,cloudy,rural,video
350,scientific,n5,foggy,rural,voice
351,government,n5,cloudy,rural,voice
352,emergency,n3,emergency,urban,data
353,educational,n2,snowy,urban,data
354,ordinary,n2,cloudy,rural,data
355,educational,n1,cloudy,urban,data
356,ordinary,n4,emergency,rural,voice
357,ordinary,n2,cloudy,urban,voice
358,educational,n1,sunny,semi-urban,data
359,scientific,n1,sunny,rural,video
360,scientific,n4,cloudy,rural,video
361,scientific,n2,rainy,semi-urban,emergency
362,emergency,n5,sunny,urban,emergency
363,emergency,n4,sunny,rural,data
364,scientific,n4,emergency,urban,voice
365,government,n1,snowy,rural,data
366,emergency,n5,rainy,urban,video
367,ordinary,n4,rainy,semi-urban,video
368,scientific,n3,snowy,semi-urban,data
369,emergency,n2,sunny,semi-urban,video
370,educational,n5,rainy,urban,emergency
371,emergency,n5,emergency,semi-urban,voice
372,educational,n4,sunny,urban,voice
373,government,n4,snowy,urban,voice
374,educational,n5,foggy,urban,voice
375,scientific,n1,sunny,urban,voice
376,educational,n3,snowy,urban,data
377,scientific,n5,cloudy,rural,data
378,educational,n4,cloudy,rural,voice
379,emergency,n3,cloudy,urban,emergency
380,emergency,n2,snowy,semi-urban,voice
381,government,n2,sunny,rural,video
382,emergency,n3,cloudy,rural,emergency
383,educational,n3,cloudy,semi-urban,data
384,emergency,n1,sunny,rural,video
385,government,n4,snowy,urban,voice
386,scientific,n5,snowy,semi-urban,video
387,emergency,n5,cloudy,rural,emergency
388,ordinary,n4,snowy,urban,video
389,government,n2,foggy,urban,data
390,educational,n2,snowy,semi-urban,voice
391,government,n5,snowy,rural,emergency
392,government,n4,cloudy,semi-urban,voice
393,government,n5,foggy,urban,emergency
394,educational,n4,rainy,semi-urban,video
395,educational,n4,snowy,rural,video
396,scientific,n5,foggy,semi-urban,voice
397,ordinary,n1,sunny,semi-urban,emergency
398,scientific,n4,sunny,rural,voice
399,educational,n1,sunny,semi-urban,video
400,government,n2,sunny,urban,video
401,ordinary,n1,cloudy,rural,voice
402,educational,n2,rainy,rural,video
403,scientific,n2,snowy,semi-urban,data
404,emergency,n2,rainy,urban,emergency
405,ordinary,n1,rainy,urban,voice
406,government,n5,snowy,urban,emergency
407,ordinary,n2,foggy,urban,voice
408,educational,n3,snowy,rural,data
409,emergency,n2,sunny,rural,video
410,ordinary,n3,cloudy,urban,data
411,ordinary,n2,cloudy,urban,voice
412,educational,n1,sunny,urban,data
413,ordinary,n2,cloudy,urban,emergency
414,government,n5,foggy,urban,voice
415,ordinary,n5,emergency,semi-urban,data
416,educational,n5,snowy,semi-urban,video
417,government,n4,foggy,rural,voice
418,emergency,n3,cloudy,urban,emergency
419,educational,n1,cloudy,semi-urban,video
420,emergency,n2,rainy,urban,data
421,educational,n1,rainy,rural,emergency
422,educational,n3,rainy,urban,voice
423,emergency,n1,cloudy,urban,video
424,scientific,n5,rainy,urban,data
425,government,n5,cloudy,semi-urban,voice
426,government,n3,foggy,semi-urban,voice
427,government,n1,foggy,rural,data
428,government,n3,cloudy,urban,data
429,emergency,n4,sunny,urban,data
430,government,n5,cloudy,rural,emergency
431,scientific,n3,rainy,semi-urban,emergency
432,scientific,n5,cloudy,urban,video
433,scientific,n4,foggy,urban,video
434,scientific,n3,sunny,semi-urban,video
435,ordinary,n3,cloudy,urban,data
436,educational,n5,emergency,semi-urban,video
437,government,n5,sunny,semi-urban,video
438,emergency,n3,emergency,semi-urban,voice
439,ordinary,n1,rainy,rural,data
440,ordinary,n3,sunny,rural,emergency
441,ordinary,n5,emergency,urban,data
442,ordinary,n4,foggy,semi-urban,data
443,emergency,n1,cloudy,rural,data
444,ordinary,n4,foggy,semi-urban,emergency
445,educational,n2,snowy,semi-urban,data
446,emergency,n3,snowy,semi-urban,voice
447,ordinary,n5,emergency,urban,voice
448,government,n5,snowy,semi-urban,voice
449,ordinary,n1,emergency,urban,video
450,scientific,n5,snowy,urban,emergency
451,scientific,n4,cloudy,semi-urban,data
452,ordinary,n4,foggy,urban,voice
453,emergency,n1,cloudy,semi-urban,voice
454,government,n3,sunny,rural,voice
455,ordinary,n3,emergency,semi-urban,emergency
456,ordinary,n3,snowy,semi-urban,video
457,ordinary,n2,emergency,rural,data
458,ordinary,n1,foggy,semi-urban,data
459,government,n4,foggy,rural,data
460,ordinary,n3,foggy,rural,data
461,emergency,n4,rainy,semi-urban,video
462,government,n2,snowy,urban,data
463,government,n1,rainy,rural,data
464,educational,n2,emergency,semi-urban,data
465,ordinary,n3,emergency,rural,video
466,scientific,n3,emergency,rural,video
467,emergency,n3,sunny,rural,emergency
468,scientific,n2,foggy,urban,voice
469,scientific,n2,rainy,urban,data
470,ordinary,n5,sunny,urban,video
471,ordinary,n3,snowy,semi-urban,video
472,emergency,n5,rainy,urban,video
473,educational,n4,rainy,urban,voice
474,emergency,n2,rainy,semi-urban,emergency
475,scientific,n2,emergency,urban,emergency
476,emergency,n4,foggy,rural,voice
477,scientific,n5,snowy,rural,data
478,scientific,n2,rainy,urban,emergency
479,educational,n5,sunny,rural,emergency
480,educational,n2,sunny,semi-urban,voice
481,educational,n1,rainy,urban,voice
482,government,n2,rainy,rural,video
483,government,n3,sunny,rural,voice
484,ordinary,n3,snowy,semi-urban,data
485,educational,n4,sunny,semi-urban,video
486,educational,n1,cloudy,urban,video
487,educational,n2,sunny,urban,video
488,emergency,n3,foggy,urban,emergency
489,educational,n4,emergency,semi-urban,emergency
490,scientific,n1,sunny,rural,video
491,educational,n1,cloudy,semi-urban,voice
492,scientific,n2,sunny,urban,voice
493,government,n2,sunny,semi-urban,video
494,educational,n2,rainy,rural,video
495,government,n4,rainy,urban,emergency
496,government,n1,snowy,urban,video
497,emergency,n2,rainy,semi-urban,data
498,government,n3,emergency,semi-urban,emergency
499,ordinary,n4,rainy,rural,data
500,government,n2,sunny,rural,data
501,emergency,n4,sunny,urban,data
502,ordinary,n4,emergency,semi-urban,video
503,ordinary,n5,snowy,rural,data
504,scientific,n5,snowy,urban,video
505,government,n3,emergency,semi-urban,voice
506,ordinary,n2,emergency,urban,voice
507,educational,n5,foggy,rural,emergency
508,scientific,n4,snowy,semi-urban,data
509,government,n4,foggy,semi-urban,emergency
510,scientific,n4,rainy,rural,voice
511,emergency,n5,emergency,semi-urban,video
512,educational,n2,cloudy,rural,video
513,ordinary,n4,snowy,urban,voice
514,educational,n4,cloudy,semi-urban,voice
515,educational,n2,snowy,urban,video
516,scientific,n1,cloudy,rural,video
517,educational,n5,sunny,urban,voice
518,scientific,n3,cloudy,rural,emergency
519,scientific,n3,cloudy,semi-urban,voice
520,educational,n2,foggy,semi-urban,emergency
521,educational,n3,sunny,urban,emergency
522,emergency,n4,rainy,rural,emergency
523,ordinary,n1,foggy,rural,data
524,ordinary,n5,foggy,rural,video
525,government,n5,foggy,urban,data
526,ordinary,n3,foggy,semi-urban,voice
527,emergency,n1,rainy,semi-urban,data
528,educational,n2,sunny,rural,voice
529,scientific,n3,sunny,urban,video
530,government,n4,foggy,rural,emergency
531,government,n1,emergency,rural,voice
532,government,n3,cloudy,rural,emergency
533,ordinary,n2,sunny,urban,data
534,educational,n3,cloudy,rural,emergency
535,scientific,n3,sunny,rural,emergency
536,emergency,n3,sunny,urban,video
537,emergency,n2,snowy,urban,data
538,ordinary,n4,snowy,semi-urban,emergency
539,government,n5,foggy,rural,video
540,educational,n2,emergency,urban,voice
541,educational,n5,cloudy,rural,emergency
542,educational,n3,rainy,semi-urban,emergency
543,emergency,n1,snowy,rural,emergency
544,government,n5,snowy,rural,voice
545,government,n4,sunny,semi-urban,emergency
546,educational,n5,sunny,urban,video
547,government,n4,rainy,urban,voice
548,government,n5,rainy,semi-urban,voice
549,educational,n4,snowy,semi-urban,voice
550,educational,n2,emergency,urban,data
551,ordinary,n2,cloudy,semi-urban,voice
552,ordinary,n1,emergency,semi-urban,voice
553,scientific,n4,emergency,urban,voice
554,government,n1,snowy,semi-urban,data
555,ordinary,n1,cloudy,rural,video
556,scientific,n2,sunny,semi-urban,video
557,emergency,n3,sunny,urban,voice
558,educational,n1,emergency,urban,emergency
559,scientific,n2,foggy,rural,data
560,scientific,n1,sunny,semi-urban,video
561,emergency,n2,cloudy,urban,data
562,educational,n5,rainy,semi-urban,voice
563,scientific,n3,emergency,rural,data
564,ordinary,n1,foggy,urban,voice
565,educational,n2,snowy,rural,data
566,government,n1,sunny,rural,emergency
567,educational,n4,sunny,rural,video
568,government,n2,snowy,urban,video
569,emergency,n4,foggy,rural,video
570,educational,n4,cloudy,semi-urban,data
571,government,n4,foggy,semi-urban,voice
572,emergency,n3,snowy,semi-urban,data
573,government,n3,rainy,rural,emergency
574,educational,n1,snowy,rural,video
575,emergency,n5,sunny,rural,emergency
576,educational,n2,emergency,rural,emergency
577,scientific,n1,emergency,semi-urban,data
578,government,n4,rainy,semi-urban,voice
579,government,n5,sunny,rural,data
580,educational,n4,foggy,rural,data
581,ordinary,n4,sunny,urban,data
582,government,n4,rainy,semi-urban,data
583,scientific,n1,sunny,rural,voice
584,ordinary,n1,foggy,urban,data
585,emergency,n4,foggy,rural,video
586,ordinary,n5,snowy,rural,data
587,ordinary,n4,emergency,semi-urban,video
588,emergency,n3,foggy,rural,emergency
589,emergency,n2,cloudy,semi-urban,voice
590,government,n1,rainy,urban,emergency
591,educational,n5,cloudy,semi-urban,voice
592,educational,n4,sunny,rural,data
593,government,n4,cloudy,semi-urban,video
594,scientific,n4,cloudy,rural,data
595,ordinary,n4,sunny,semi-urban,emergency
596,ordinary,n4,snowy,rural,emergency
597,educational,n3,rainy,rural,video
598,ordinary,n1,emergency,urban,video
599,emergency,n1,emergency,semi-urban,voice
600,emergency,n5,snowy,semi-urban,voice
601,educational,n1,sunny,rural,emergency
602,government,n1,foggy,urban,voice
603,government,n2,emergency,rural,data
604,scientific,n5,sunny,rural,emergency
605,ordinary,n1,rainy,semi-urban,voice
606,emergency,n2,rainy,semi-urban,emergency
607,government,n2,rainy,rural,voice
608,emergency,n2,sunny,semi-urban,voice
609,emergency,n2,rainy,rural,video
610,government,n5,rainy,rural,data
611,ordinary,n4,foggy,semi-urban,emergency
612,scientific,n4,snowy,urban,emergency
613,ordinary,n5,foggy,semi-urban,data
614,scientific,n2,foggy,semi-urban,video
615,scientific,n2,sunny,rural,data
616,emergency,n3,emergency,urban,voice
617,ordinary,n2,emergency,rural,voice
618,government,n5,rainy,semi-urban,data
619,ordinary,n3,rainy,rural,voice
620,scientific,n4,rainy,rural,voice
621,scientific,n3,emergency,urban,emergency
622,government,n3,sunny,semi-urban,data
623,scientific,n2,cloudy,rural,data
624,government,n3,foggy,urban,voice
625,emergency,n1,sunny,urban,video
626,ordinary,n1,emergency,semi-urban,voice
627,ordinary,n5,foggy,urban,video
628,emergency,n3,rainy,rural,data
629,ordinary,n2,cloudy,rural,emergency
630,emergency,n2,cloudy,rural,data
631,ordinary,n2,cloudy,semi-urban,data
632,educational,n5,emergency,rural,voice
633,educational,n3,sunny,rural,video
634,government,n5,foggy,rural,video
635,ordinary,n5,snowy,urban,voice
636,scientific,n5,cloudy,semi-urban,data
637,government,n5,snowy,urban,voice
638,ordinary,n4,sunny,rural,video
639,educational,n4,foggy,semi-urban,voice
640,government,n1,snowy,semi-urban,data
641,ordinary,n1,snowy,rural,voice
642,government,n5,sunny,rural,voice
643,emergency,n3,cloudy,semi-urban,emergency
644,scientific,n5,snowy,rural,emergency
645,educational,n5,foggy,urban,emergency
646,government,n4,snowy,urban,video
647,scientific,n1,cloudy,rural,video
648,educational,n3,rainy,urban,emergency
649,scientific,n2,snowy,rural,data
650,educational,n2,emergency,urban,video
651,ordinary,n5,rainy,semi-urban,voice
652,scientific,n3,foggy,semi-urban,video
653,ordinary,n4,sunny,semi-urban,emergency
654,educational,n2,foggy,urban,voice
655,scientific,n2,cloudy,semi-urban,data
656,emergency,n4,cloudy,rural,emergency
657,educational,n5,sunny,rural,data
658,government,n1,cloudy,urban,voice
659,government,n5,sunny,rural,data
660,ordinary,n2,emergency,rural,video
661,educational,n5,foggy,urban,emergency
662,ordinary,n4,sunny,semi-urban,data
663,educational,n3,cloudy,rural,video
664,government,n4,foggy,urban,video
665,ordinary,n5,snowy,urban,video
666,government,n2,snowy,semi-urban,video
667,government,n5,cloudy,rural,video
668,emergency,n1,rainy,rural,video
669,government,n1,sunny,semi-urban,data
670,educational,n3,rainy,semi-urban,data
671,educational,n4,sunny,semi-urban,video
672,educational,n3,sunny,rural,video
673,ordinary,n5,emergency,rural,emergency
674,educational,n4,rainy,rural,voice
675,educational,n2,emergency,rural,video
676,educational,n1,foggy,rural,voice
677,educational,n5,emergency,semi-urban,video
678,educational,n2,emergency,semi-urban,video
679,scientific,n5,emergency,semi-urban,video
680,ordinary,n3,foggy,semi-urban,voice
681,ordinary,n1,rainy,urban,video
682,emergency,n1,emergency,semi-urban,video
683,emergency,n2,sunny,semi-urban,emergency
684,emergency,n3,cloudy,urban,voice
685,scientific,n1,emergency,rural,video
686,scientific,n2,rainy,semi-urban,video
687,scientific,n4,foggy,semi-urban,data
688,emergency,n3,emergency,semi-urban,video
689,emergency,n5,snowy,semi-urban,emergency
690,emergency,n4,cloudy,urban,emergency
691,scientific,n3,sunny,urban,emergency
692,scientific,n5,cloudy,urban,emergency
693,scientific,n1,foggy,urban,voice
694,emergency,n5,emergency,urban,data
695,ordinary,n3,snowy,rural,emergency
696,government,n4,snowy,rural,video
697,educational,n1,cloudy,rural,emergency
698,government,n1,rainy,semi-urban,emergency
699,government,n1,foggy,urban,emergency
700,government,n5,snowy,urban,data
701,scientific,n5,foggy,rural,emergency
702,emergency,n2,foggy,semi-urban,voice
703,ordinary,n3,rainy,urban,voice
704,government,n2,foggy,semi-urban,video
705,government,n4,cloudy,semi-urban,data
706,government,n2,snowy,rural,voice
707,government,n2,snowy,urban,voice
708,scientific,n4,snowy,semi-urban,voice
709,educational,n4,snowy,semi-urban,video
710,emergency,n5,sunny,semi-urban,emergency
711,ordinary,n3,cloudy,rural,voice
712,educational,n4,rainy,urban,voice
713,ordinary,n1,rainy,urban,voice
714,scientific,n3,rainy,urban,emergency
715,emergency,n4,rainy,semi-urban,data
716,emergency,n3,rainy,semi-urban,emergency
